brand,model,year,body,price,car_mileage,fuel,power,transmission
25,852,2015.0,7,13100.0,184.0,0,2.0,2
23,621,2011.0,7,11900.0,142.0,0,2.0,2
25,888,2004.0,7,6500.0,176.0,1,2.0,1
25,852,2005.0,7,7500.0,310.0,0,2.0,2
21,762,2006.0,7,9300.0,320.0,0,2.0,2
21,762,2012.0,7,19000.0,358.0,0,3.0,1
36,529,2013.0,7,25990.0,131.0,1,3.0,1
29,815,2017.0,7,13700.0,162.0,0,2.0,2
21,851,1999.0,7,5000.0,300.0,0,2.0,2
21,351,2000.0,7,6200.0,270.0,0,2.0,3
21,762,2007.0,7,15500.0,385.0,0,2.0,2
21,762,2010.0,7,20199.0,255.0,0,2.0,2
39,57,2010.0,7,3900.0,128.0,1,2.0,2
24,644,2006.0,7,8700.0,168.0,0,2.0,2
11,816,2005.0,7,6200.0,200.0,0,2.0,2
21,762,2011.0,7,21500.0,320.0,0,2.0,2
21,851,2005.0,7,10900.0,300.0,0,2.0,2
29,564,2017.0,7,15600.0,121.0,0,2.0,2
21,851,2006.0,7,7250.0,377.0,0,2.0,2
21,762,2010.0,7,20500.0,120.0,0,2.0,2
29,510,2010.0,7,8600.0,250.0,0,2.0,2
10,343,2009.0,7,6600.0,186.0,0,2.0,2
21,851,2004.0,7,6800.0,340.0,0,2.0,2
29,510,2011.0,7,8200.0,175.0,2,2.0,2
29,815,2008.0,7,9699.0,200.0,0,2.0,2
29,564,1999.0,7,4999.0,300.0,0,3.0,2
37,784,2003.0,7,7000.0,370.0,0,2.0,2
25,573,2008.0,7,6650.0,50.0,2,2.0,0
21,851,2006.0,7,10500.0,203.0,0,2.0,2
25,308,2010.0,7,6700.0,172.0,0,1.0,2
6,500,2006.0,7,5600.0,380.0,0,2.0,2
29,564,2015.0,7,13300.0,219.0,0,2.0,2
6,234,2013.0,7,5800.0,227.0,0,2.0,2
22,313,2013.0,7,18800.0,72.0,0,2.0,4
17,281,2008.0,7,6250.0,195.0,0,2.0,2
21,762,1997.0,7,3600.0,400.0,0,3.0,2
27,240,2002.0,7,4600.0,308.0,0,2.0,2
21,851,1999.0,7,4700.0,415.0,0,2.0,2
29,815,2015.0,7,14600.0,156.0,0,2.0,2
21,851,2004.0,7,8500.0,403.0,0,2.0,4
29,564,2016.0,7,13200.0,170.0,0,2.0,2
21,762,2015.0,7,13200.0,234.0,0,2.0,2
37,261,2012.0,7,10000.0,232.0,0,2.0,1
21,847,2009.0,7,14700.0,317.0,0,2.0,1
21,851,2003.0,7,8600.0,373.0,0,2.0,1
21,762,2000.0,7,7950.0,1.0,0,2.0,2
21,851,2003.0,7,9381.0,1.0,0,2.0,2
37,784,2002.0,7,4900.0,400.0,0,2.0,2
37,785,2009.0,7,10700.0,220.0,0,2.0,2
21,762,2005.0,7,13500.0,1.0,0,2.0,3
25,852,2007.0,7,9960.0,218.0,0,2.0,2
29,510,2008.0,7,5500.0,120.0,0,2.0,2
37,547,2000.0,7,10700.0,147.0,0,2.0,3
29,510,2010.0,7,7300.0,110.0,2,2.0,2
21,762,2005.0,7,12999.0,960.0,0,3.0,2
10,134,2014.0,7,9999.0,10.0,0,2.0,3
37,547,1999.0,7,5500.0,614.0,0,2.0,2
29,564,2012.0,7,9700.0,285.0,0,2.0,1
21,762,2016.0,7,20500.0,197.0,0,2.0,2
21,851,2010.0,7,11700.0,260.0,0,2.0,2
11,816,2014.0,7,20000.0,166.0,2,4.0,1
29,564,2003.0,7,5500.0,666.0,0,2.0,2
21,762,2005.0,7,16499.0,680.0,0,3.0,2
21,762,2005.0,7,8688.0,470.0,0,2.0,2
29,815,2005.0,7,7700.0,223.0,0,2.0,2
36,681,2011.0,7,15700.0,160.0,1,2.0,1
29,815,2016.0,7,15999.0,178.0,0,2.0,2
37,785,2009.0,7,12000.0,322.0,0,2.0,2
21,762,1998.0,7,11500.0,350.0,0,2.0,2
25,852,2012.0,7,12500.0,238.0,0,2.0,2
37,261,2016.0,7,8599.0,200.0,0,2.0,2
37,785,2008.0,7,9800.0,312.0,0,2.0,2
21,762,2008.0,7,15000.0,462.0,0,2.0,2
29,564,2000.0,7,6600.0,291.0,0,2.0,2
11,816,2005.0,7,4300.0,397.0,0,2.0,2
21,762,2014.0,7,25999.0,250.0,0,2.0,1
10,651,2008.0,7,4750.0,168.0,2,1.0,2
25,589,2010.0,7,10500.0,335.0,0,2.0,2
21,851,2014.0,7,13200.0,160.0,0,2.0,2
21,762,2003.0,7,14000.0,255.0,0,3.0,2
21,762,2006.0,7,8600.0,480.0,0,2.0,2
26,107,2007.0,7,3400.0,360.0,1,2.0,2
39,60,2007.0,7,3800.0,118.0,1,2.0,2
29,564,2012.0,7,10800.0,240.0,0,2.0,2
37,323,2007.0,7,8150.0,276.0,0,2.0,1
1,185,2011.0,7,16500.0,230.0,2,2.0,1
